Paper,Link,ExtractDatetime
metro,https://metro.co.uk/2020/04/03/potential-coronavirus-vaccine-shows-hope-mouse-study-12504794/,2020-04-06 14:22:26.843166
metro,https://metro.co.uk/2020/04/03/price-cocaine-rockets-coronavirus-lockdown-12502541/,2020-04-06 14:22:26.843166
metro,https://metro.co.uk/2020/04/03/princess-eugenies-father-law-intensive-care-battling-coronavirus-12506776/,2020-04-06 14:22:26.843166
metro,https://metro.co.uk/2020/04/03/queen-address-uk-weekend-coronavirus-death-toll-soars-12504682/,2020-04-06 14:22:26.843166
metro,https://metro.co.uk/2020/04/03/six-dead-uk-care-home-many-infected-coronavirus-12502254/,2020-04-06 14:22:26.843166
metro,https://metro.co.uk/2020/04/03/smokers-14-times-likely-develop-severe-coronavirus-symptoms-12505467/,2020-04-06 14:22:25.846154
metro,https://metro.co.uk/2020/04/03/uk-coronavirus-death-toll-passes-3000-another-684-die-12504224/,2020-04-06 14:22:25.846154
metro,https://metro.co.uk/2020/04/03/uks-worst-case-coronavirus-scenario-sees-50000-dead-12501270/,2020-04-06 14:22:26.843166
metro,https://metro.co.uk/2020/04/03/woman-fined-660-refusing-say-going-conviction-overturned-police-error-12502223/,2020-04-06 14:22:26.843166
metro,https://metro.co.uk/2020/04/03/womans-family-annihilated-coronavirus-parents-brother-die-covid-19-12506497/,2020-04-06 14:22:26.843166
metro,https://metro.co.uk/2020/04/04/300-ventilators-arrived-china-today-fight-coronavirus-12509097/,2020-04-06 14:22:26.843166
metro,https://metro.co.uk/2020/04/04/actress-author-patricia-bosworth-dies-aged-86-coronavirus-12510306/,2020-04-06 14:22:26.843166
metro,https://metro.co.uk/2020/04/04/boris-johnson-invites-opposition-party-leaders-coronavirus-briefing-work-together-12507647/,2020-04-06 14:22:26.843166
metro,https://metro.co.uk/2020/04/04/boris-johnsons-pregnant-fiance-bed-week-coronavirus-symptoms-12509726/,2020-04-06 14:22:25.830533
metro,https://metro.co.uk/2020/04/04/boy-6-cystic-fibrosis-beams-beating-coronavirus-12509981/,2020-04-06 14:22:25.830533
